metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
aws.s3.4xx_errors,count,60,,,The total number of HTTP 4xx client error status code requests made to a bucket,0,amazon_s3,total 4xx errors,
aws.s3.5xx_errors,count,60,,,The total number of HTTP 5xx server error status code requests made to a bucket,0,amazon_s3,total 5xx errors,
aws.s3.all_requests,count,60,,,"The total number of HTTP requests made to a bucket, regardless of type.",0,amazon_s3,all req,
aws.s3.bucket_size_bytes,gauge,,byte,,"The amount of data in bytes stored in a bucket in the Standard storage class, Standard - Infrequent Access (Standard_IA) storage class, or the Reduced Redundancy Storage (RRS) class.",0,amazon_s3,bckt sz B,
aws.s3.bytes_downloaded,count,60,byte,,The total number bytes downloaded from the bucket.,0,amazon_s3,total bytes downloaded,
aws.s3.bytes_pending_replication,gauge,60,byte,,The total number of bytes of objects pending replication,0,amazon_s3,max bytes pending repl,
aws.s3.bytes_uploaded,count,60,byte,,The total number bytes uploaded to the bucket.,0,amazon_s3,total bytes uploaded,
aws.s3.delete_requests,count,60,,,The number of HTTP DELETE requests made for objects in a bucket. This also includes Delete Multiple Objects requests.,0,amazon_s3,del req,
aws.s3.first_byte_latency,gauge,60,millisecond,,The average per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,average first byte latency,
aws.s3.first_byte_latency.maximum,gauge,60,millisecond,,The maximum per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,max first byte latency,
aws.s3.first_byte_latency.minimum,gauge,60,millisecond,,The minimum per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,min first byte latency,
aws.s3.first_byte_latency.p50,gauge,60,millisecond,,The 50 percentile per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,50p first byte latency,
aws.s3.first_byte_latency.p90,gauge,60,millisecond,,The 90 percentile per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,90p first byte latency,
aws.s3.first_byte_latency.p95,gauge,60,millisecond,,The 95 percentile per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,95p first byte latency,
aws.s3.first_byte_latency.p99,gauge,60,millisecond,,The 99 percentile per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,99p first byte latency,
aws.s3.first_byte_latency.p99.99,gauge,60,millisecond,,The 99.99 percentile per-request time from the complete request being received by a bucket to when the response starts to be returned.,0,amazon_s3,99.99p first byte latency,
aws.s3.get_requests,count,60,,,The number of HTTP GET requests made for objects in a bucket. This doesn't include list operations.,0,amazon_s3,get req,
aws.s3.head_requests,count,60,,,The number of HTTP HEAD requests made to a bucket.,0,amazon_s3,head req,
aws.s3.list_requests,count,60,,,The number of HTTP requests that list the contents of a bucket.,0,amazon_s3,list req,
aws.s3.number_of_objects,gauge,,,,The total number of objects stored in a bucket for all storage classes except for the GLACIER storage class.,0,amazon_s3,nb objects,
aws.s3.operations_failed_replication,gauge,60,operation,,The average number of operations that failed to replicate for a given replication rule,0,amazon_s3,repl ops failure rate,
aws.s3.operations_failed_replication.samplecount,count,60,operation,,The total number of replication operations,0,amazon_s3,total repl ops,
aws.s3.operations_failed_replication.sum,count,60,operation,,The total number of operations that failed to replicate for a given replication rule,0,amazon_s3,ops failed repl sum,
aws.s3.operations_pending_replication,gauge,60,operation,,The number of operations pending replication,0,amazon_s3,ops pending repl,
aws.s3.post_requests,count,60,,,The number of HTTP POST requests made to a bucket.,0,amazon_s3,post req,
aws.s3.put_requests,count,60,,,The number of HTTP PUT requests made for objects in a bucket.,0,amazon_s3,put req,
aws.s3.replication_latency,gauge,60,second,,The maximum number of seconds by which the replication destination Region is behind the source Region,0,amazon_s3,max repl latency,
aws.s3.total_request_latency,gauge,60,millisecond,,The average elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,average request latency,
aws.s3.total_request_latency.maximum,gauge,60,millisecond,,The maximum elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,max request latency,
aws.s3.total_request_latency.minimum,gauge,60,millisecond,,The minimum elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,min request latency,
aws.s3.total_request_latency.p50,gauge,60,millisecond,,The 50 percentile elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,50p request latency,
aws.s3.total_request_latency.p90,gauge,60,millisecond,,The 90 percentile elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,90p request latency,
aws.s3.total_request_latency.p95,gauge,60,millisecond,,The 95 percentile elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,95p request latency,
aws.s3.total_request_latency.p99,gauge,60,millisecond,,The 90 percentile elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,99p request latency,
aws.s3.total_request_latency.p99.99,gauge,60,millisecond,,The 99.99 percentile elapsed per-request time from the first byte received to the last byte sent to a bucket,0,amazon_s3,99.99p request latency,
