metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
azure.vm.available_memory_bytes,gauge,60,byte,,"Amount of physical memory, in bytes, immediately available for allocation to a process or for system use in the Virtual Machine",0,azure_vm,available_memory_bytes,
azure.vm.available_memory_percentage,gauge,60,percent,,"Amount of physical memory, in percentage, immediately available for allocation to a process or for system use in the Virtual Machine.",0,azure_vm,available_memory_percentage,
azure.vm.cpu_credits_consumed,count,60,,,"Total number of credits consumed by the Virtual Machine. Only available on B-series burstable VMs",0,azure_vm,cpu_credits_consumed,
azure.vm.cpu_credits_remaining,count,60,,,"Total number of credits available to burst. Only available on B-series burstable VMs",0,azure_vm,cpu_credits_remaining,
azure.vm.data_disk_bandwidth_consumed_percentage,gauge,60,percent,,"Percentage of data disk bandwidth consumed per minute. Only available on VM series that support premium storage",0,azure_vm,data_disk_bandwidth_consumed_percentage,
azure.vm.data_disk_iops_consumed_percentage,gauge,60,percent,,"Percentage of data disk I/Os consumed per minute. Only available on VM series that support premium storage",0,azure_vm,data_disk_iops_consumed_percentage,
azure.vm.data_disk_latency_preview,gauge,60,millisecond,,"Average time to complete each IO during monitoring period for Data Disk. Values are in milliseconds",0,azure_vm,data_disk_latency_preview,
azure.vm.data_disk_max_burst_bandwidth,count,60,,,"Maximum bytes per second throughput Data Disk can achieve with bursting",0,azure_vm,data_disk_max_burst_bandwidth,
azure.vm.data_disk_max_burst_iops,count,60,,,"Maximum IOPS Data Disk can achieve with bursting",0,azure_vm,data_disk_max_burst_iops,
azure.vm.data_disk_queue_depth,count,60,,,"Data Disk Queue Depth(or Queue Length)",0,azure_vm,data_disk_queue_depth,
azure.vm.data_disk_read_bytes_sec,count,60,byte,second,"Bytes/Sec read from a single disk during monitoring period",0,azure_vm,data_disk_read_bytes_sec,
azure.vm.data_disk_read_bytes_sec.max,count,60,byte,second,"Maximum Bytes/Sec read from a single disk during monitoring period (Max Aggregated)",0,azure_vm,data_disk_read_bytes_sec_max,
azure.vm.data_disk_read_operations_sec,count,60,operation,second,"Read IOPS from a single disk during monitoring period",0,azure_vm,data_disk_read_operations_sec,
azure.vm.data_disk_target_bandwidth,count,60,,,"Baseline bytes per second throughput Data Disk can achieve without bursting",0,azure_vm,data_disk_target_bandwidth,
azure.vm.data_disk_target_iops,count,60,,,"Baseline IOPS Data Disk can achieve without bursting",0,azure_vm,data_disk_target_iops,
azure.vm.data_disk_used_burst_bps_credits_percentage,gauge,60,percent,,"Percentage of Data Disk burst bandwidth credits used so far",0,azure_vm,data_disk_used_burst_bps_credits_percentage,
azure.vm.data_disk_used_burst_io_credits_percentage,gauge,60,percent,,"Percentage of Data Disk burst I/O credits used so far",0,azure_vm,data_disk_used_burst_io_credits_percentage,
azure.vm.data_disk_write_bytes_sec,count,60,byte,second,"Bytes/Sec written to a single disk during monitoring period",0,azure_vm,data_disk_write_bytes_sec,
azure.vm.data_disk_write_operations_sec,count,60,operation,second,"Write IOPS from a single disk during monitoring period",0,azure_vm,data_disk_write_operations_sec,
azure.vm.disk_read_bytes,count,60,byte,,"Bytes read from disk during monitoring period",0,azure_vm,disk_read_bytes,
azure.vm.disk_read_operations_sec,count,60,operation,second,"Disk Read IOPS",0,azure_vm,disk_read_operations_sec,
azure.vm.disk_write_bytes,count,60,byte,,"Bytes written to disk during monitoring period",0,azure_vm,disk_write_bytes,
azure.vm.disk_write_operations_sec,count,60,operation,second,"Disk Write IOPS",0,azure_vm,disk_write_operations_sec,
azure.vm.inbound_flows,count,60,item,,"Inbound Flows are number of current flows in the inbound direction (traffic going into the VM)",0,azure_vm,inbound_flows,
azure.vm.inbound_flows_maximum_creation_rate,count,60,item,second,"The maximum creation rate of inbound flows (traffic going into the VM)",0,azure_vm,inbound_flows_maximum_creation_rate,
azure.vm.network_in,gauge,60,byte,,"The number of billable bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic) (Deprecated)",0,azure_vm,network_in,
azure.vm.network_in_total,gauge,60,byte,,"The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic)",0,azure_vm,network_in_total,
azure.vm.network_out,gauge,60,byte,,"The number of billable bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic) (Deprecated)",0,azure_vm,network_out,
azure.vm.network_out_total,gauge,60,byte,,"The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic)",0,azure_vm,network_out_total,
azure.vm.os_disk_bandwidth_consumed_percentage,gauge,60,percent,,"Percentage of operating system disk bandwidth consumed per minute. Only available on VM series that support premium storage",0,azure_vm,os_disk_bandwidth_consumed_percentage,
azure.vm.os_disk_iops_consumed_percentage,gauge,60,percent,,"Percentage of operating system disk I/Os consumed per minute. Only available on VM series that support premium storage",0,azure_vm,os_disk_iops_consumed_percentage,
azure.vm.os_disk_latency_preview,gauge,60,millisecond,,"Average time to complete each IO during monitoring period for OS Disk. Values are in milliseconds",0,azure_vm,os_disk_latency_preview,
azure.vm.os_disk_max_burst_bandwidth,count,60,,,"Maximum bytes per second throughput OS Disk can achieve with bursting",0,azure_vm,os_disk_max_burst_bandwidth,
azure.vm.os_disk_max_burst_iops,count,60,,,"Maximum IOPS OS Disk can achieve with bursting",0,azure_vm,os_disk_max_burst_iops,
