metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
ntp.offset,gauge,,second,,The time difference between the local clock and the NTP reference clock.,-1,system,ntp offset,
process.stat.cpu.num_threads,gauge,,thread,,The number of threads used by this process.,0,system,process threads,
process.stat.cpu.system_pct,gauge,,percent,,The percent of time the CPU spent on this process in the kernel.,0,system,process sys cpu pct,
process.stat.cpu.system_pct.norm,gauge,,percent,,The percent of time the CPU spent on this process in the kernel normalized by the number of CPUs.,0,system,process norm sys cpu pct,
process.stat.cpu.total_pct,gauge,,percent,,The total percent of time the CPU spent on this process.,0,system,process cpu pct,
process.stat.cpu.total_pct.norm,gauge,,percent,,The total percent of time the CPU spent on this process normalized by the number of CPUs.,0,system,process norm cpu pct,
process.stat.cpu.user_pct,gauge,,percent,,The percent of time the CPU spent on this process in user space.,0,system,process user cpu pct,
process.stat.cpu.user_pct.norm,gauge,,percent,,The percent of time the CPU spent on this process in user space normalized by the number of CPUs.,0,system,process norm user cpu pct,
process.stat.memory.rss,gauge,,byte,,"The non-swapped physical memory a process has used. Also known as ""Resident Set Size"".",0,system,process mem rss,
process.stat.memory.rss.pct,gauge,,percent,,The process memory utilization as a percentage of the total system memory.,0,system,process mem pct,
process.stat.memory.vms,gauge,,byte,,"The total amount of virtual memory used by the process. Also known as ""Virtual Memory Size"".",0,system,process mem vms,
process.stat.voluntary_ctx_switches,gauge,,event,second,The rate of voluntary context switches performed by this process.,0,system,process ctx switches,
process.stat.involuntary_ctx_switches,gauge,,event,second,The rate of involuntary context switches performed by this process.,0,system,process ctx switches,
process.stat.io_stat.io_read_rate,gauge,,request,second,The number of system read calls per second by this process.,0,system,process io_stat io_read,
process.stat.io_stat.io_write_rate,gauge,,request,second,The number of system write calls per second by this process.,0,system,process io_stat io_write,
process.stat.io_stat.io_read_bytes_rate,gauge,,byte,second,The number of bytes read per second by this process.,0,system,process io_stat io_read_bytes,
process.stat.io_stat.io_write_bytes_rate,gauge,,byte,second,The number of bytes written per second by this process.,0,system,process io_stat io_write_bytes,
process.stat.net.tcp.active_connections,gauge,,connection,second,The number of active TCP network connections for this process.,0,system,process net tcp active,
process.stat.net.udp.active_connections,gauge,,connection,second,The number of active UDP network connections for this process.,0,system,process net udp active,
process.stat.container.cpu.num_threads,gauge,,thread,,The number of threads used by the container.,0,system,container threads,
process.stat.container.cpu.system_pct,gauge,,percent,,The percent of time the CPU spent on this container in the kernel.,0,system,container sys cpu pct,
process.stat.container.cpu.system_pct.norm,gauge,,percent,,The percent of time the CPU spent on this container in the kernel normalized by the number of CPUs.,0,system,container norm sys cpu pct,
process.stat.container.cpu.total_pct,gauge,,percent,,The total percent of time the CPU spent on this container.,0,system,container cpu pct,
process.stat.container.cpu.total_pct.norm,gauge,,percent,,The total percent of time the CPU spent on this container normalized by the number of CPUs.,0,system,container norm cpu pct,
